Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,_Ast,_xAG,_xA,_A-xAG,_KP,_1/3,_PPA,_CrsPA,_PrgP,_Matches,Season,Squad
Reece James,eng ENG,"DF,MF",23-101,10.4,671,782,85.8,10591,2767,369,392,94.1,235,274,85.8,51,76,67.1,1,1.9,1.8,-0.9,13,36,14,2,61,Matches,2022-2023,Chelsea
Conor Gallagher,eng ENG,"MF,FW",23-041,10.5,431,546,78.9,6544,1593,235,269,87.4,154,182,84.6,23,47,48.9,1,2.1,1.4,-1.1,18,43,14,5,60,Matches,2022-2023,Chelsea
Ben Chilwell,eng ENG,"DF,MF",26-088,9.7,494,641,77.1,7113,2139,307,334,91.9,142,186,76.3,30,80,37.5,2,1.3,1.2,0.7,13,24,6,4,27,Matches,2022-2023,Chelsea
Edouard Mendy,sn SEN,GK,31-018,8.5,213,268,79.5,4987,3402,69,69,100.0,87,88,98.9,53,107,49.5,0,0.0,0.0,0.0,0,4,0,0,0,Matches,2022-2023,Chelsea
Christian Pulisic,us USA,"FW,DF",24-182,7.7,208,263,79.1,2787,481,137,157,87.3,55,72,76.4,8,15,53.3,1,0.7,0.4,0.3,12,12,3,1,19,Matches,2022-2023,Chelsea
Benoît Badiashile,fr FRA,DF,21-358,7.1,537,594,90.4,9845,3525,201,222,90.5,291,308,94.5,42,59,71.2,0,0.5,0.2,-0.5,3,34,5,0,41,Matches,2022-2023,Chelsea
Enzo Fernández,ar ARG,MF,22-061,6.9,523,597,87.6,10001,2885,216,237,91.1,220,243,90.5,80,97,82.5,2,1.2,1.1,0.8,6,69,9,0,75,Matches,2022-2023,Chelsea
João Félix,pt POR,"FW,MF",23-129,5.7,164,212,77.4,2442,700,106,117,90.6,44,58,75.9,12,26,46.2,0,0.4,0.7,-0.4,5,19,7,0,26,Matches,2022-2023,Chelsea
Hakim Ziyech,ma MAR,"FW,MF",30-000,6.4,210,329,63.8,3488,1299,118,137,86.1,67,106,63.2,21,59,35.6,1,1.4,1.2,-0.4,10,18,13,6,35,Matches,2022-2023,Chelsea
Wesley Fofana,fr FRA,DF,22-092,6.2,392,445,88.1,6347,1565,193,205,94.1,185,203,91.1,10,26,38.5,0,0.0,0.1,0.0,0,28,0,0,23,Matches,2022-2023,Chelsea
Pierre-Emerick Aubameyang,ga GAB,FW,33-274,4.9,61,86,70.9,821,193,41,54,75.9,17,21,81.0,2,3,66.7,0,0.3,0.2,-0.3,3,2,2,1,3,Matches,2022-2023,Chelsea
Denis Zakaria,ch SUI,MF,26-119,3.8,149,167,89.2,2087,545,86,93,92.5,49,50,98.0,5,6,83.3,0,0.0,0.1,0.0,1,8,0,0,6,Matches,2022-2023,Chelsea
Lewis Hall,eng ENG,"DF,MF",18-192,3.4,147,195,75.4,2592,748,79,92,85.9,52,68,76.5,16,26,61.5,0,0.3,0.2,-0.3,4,10,3,1,9,Matches,2022-2023,Chelsea
Mykhailo Mudryk,ua UKR,FW,22-073,2.9,64,90,71.1,689,238,45,58,77.6,9,13,69.2,1,5,20.0,1,0.1,0.3,0.9,2,6,4,0,8,Matches,2022-2023,Chelsea
Armando Broja,al ALB,FW,21-190,3.3,33,53,62.3,466,54,21,33,63.6,9,15,60.0,2,3,66.7,0,0.1,0.1,-0.1,1,1,1,0,4,Matches,2022-2023,Chelsea
Noni Madueke,eng ENG,FW,21-009,2.0,61,78,78.2,868,195,34,40,85.0,18,25,72.0,5,6,83.3,0,0.2,0.1,-0.2,5,5,3,0,8,Matches,2022-2023,Chelsea
N'Golo Kanté,fr FRA,MF,31-355,1.9,107,129,82.9,1516,296,70,73,95.9,31,39,79.5,3,7,42.9,0,0.3,0.3,-0.3,3,9,3,1,9,Matches,2022-2023,Chelsea
Carney Chukwuemeka,eng ENG,"MF,FW",19-150,2.6,98,117,83.8,1242,297,70,82,85.4,15,19,78.9,5,5,100.0,0,0.1,0.1,-0.1,3,6,4,2,12,Matches,2022-2023,Chelsea
Datro Fofana,ci CIV,FW,20-087,0.7,4,6,66.7,53,28,2,3,66.7,2,2,100.0,0,0,,0,0.1,0.1,-0.1,2,0,1,0,1,Matches,2022-2023,Chelsea
Omari Hutchinson,eng ENG,FW,19-140,0.3,8,12,66.7,109,4,6,7,85.7,1,1,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Chelsea
Squad Total,,,27.3,27.0,13533,16238,83.3,223287,74529,6777,7508,90.3,5383,6092,88.4,1035,1799,57.5,20,25.6,23.2,-5.6,251,991,236,49,1177,,2022-2023,Chelsea
Opponent Total,,,27.3,27.0,8707,11384,76.5,153149,59740,4023,4665,86.2,3535,4248,83.2,907,1749,51.9,19,27.7,19.5,-8.7,223,701,159,48,856,,2022-2023,Chelsea
Ezri Konsa,eng ENG,DF,25-147,25.9,1155,1324,87.2,21145,7137,427,468,91.2,630,674,93.5,87,152,57.2,0,1.1,0.6,-1.1,7,43,4,2,33,Matches,2022-2023,Aston Villa
Emiliano Martínez,ar ARG,GK,30-198,24.4,693,921,75.2,18397,12179,142,142,100.0,355,358,99.2,194,413,47.0,0,0.3,0.2,-0.3,2,16,0,0,0,Matches,2022-2023,Aston Villa
Ollie Watkins,eng ENG,FW,27-079,23.8,290,416,69.7,3514,676,190,252,75.4,68,95,71.6,9,12,75.0,5,2.9,2.0,2.1,23,22,12,1,31,Matches,2022-2023,Aston Villa
Tyrone Mings,eng ENG,DF,30-006,24.0,1096,1289,85.0,21255,8328,347,384,90.4,629,677,92.9,109,203,53.7,2,1.3,0.8,0.7,5,72,4,0,67,Matches,2022-2023,Aston Villa
Douglas Luiz,br BRA,MF,24-314,21.7,1046,1252,83.5,18157,4488,439,486,90.3,452,513,88.1,106,185,57.3,5,3.0,2.2,2.0,33,71,13,3,94,Matches,2022-2023,Aston Villa
Leon Bailey,jm JAM,"FW,MF",25-222,17.9,282,453,62.3,4610,1159,153,199,76.9,81,127,63.8,33,69,47.8,3,3.3,3.4,-0.3,22,17,19,14,26,Matches,2022-2023,Aston Villa
Jacob Ramsey,eng ENG,"MF,FW",21-295,18.6,531,644,82.5,7520,1949,321,363,88.4,162,195,83.1,28,37,75.7,2,2.2,1.5,-0.2,23,56,17,0,75,Matches,2022-2023,Aston Villa
John McGinn,sct SCO,MF,28-152,18.9,536,695,77.1,9640,3379,250,294,85.0,201,244,82.4,70,113,61.9,2,1.8,2.3,0.2,12,74,14,4,88,Matches,2022-2023,Aston Villa
Matty Cash,pl POL,DF,25-224,18.2,734,940,78.1,12862,4309,327,364,89.8,340,412,82.5,57,125,45.6,1,0.7,0.9,0.3,8,55,15,9,74,Matches,2022-2023,Aston Villa
Emi Buendía,ar ARG,"MF,FW",26-084,18.1,583,734,79.4,9016,2378,315,364,86.5,188,235,80.0,49,65,75.4,0,3.3,2.2,-3.3,25,66,28,0,102,Matches,2022-2023,Aston Villa
Boubacar Kamara,fr FRA,MF,23-116,16.9,737,868,84.9,12167,3569,364,405,89.9,276,303,91.1,65,91,71.4,1,0.8,0.7,0.2,7,58,6,0,80,Matches,2022-2023,Aston Villa
Lucas Digne,fr FRA,DF,29-242,14.3,617,810,76.2,9773,3675,345,385,89.6,217,291,74.6,44,91,48.4,0,1.6,1.3,-1.6,15,34,19,11,51,Matches,2022-2023,Aston Villa
Ashley Young,eng ENG,DF,37-253,14.2,573,770,74.4,10203,4103,270,303,89.1,242,302,80.1,53,124,42.7,0,0.8,0.6,-0.8,10,45,13,4,69,Matches,2022-2023,Aston Villa
Danny Ings,eng ENG,FW,30-239,9.2,114,162,70.4,1371,289,76,97,78.4,27,34,79.4,3,12,25.0,0,1.2,0.6,-1.2,9,7,4,0,12,Matches,2022-2023,Aston Villa
Philippe Coutinho,br BRA,"MF,FW",30-280,8.8,288,384,75.0,4081,976,180,210,85.7,82,112,73.2,17,36,47.2,0,0.5,0.8,-0.5,8,30,8,2,48,Matches,2022-2023,Aston Villa
Álex Moreno,es ESP,DF,29-284,6.4,259,345,75.1,3592,1172,148,179,82.7,93,118,78.8,5,13,38.5,2,1.3,0.7,0.7,12,7,9,5,12,Matches,2022-2023,Aston Villa
Leander Dendoncker,be BEL,MF,27-338,4.1,135,155,87.1,2088,409,70,76,92.1,53,59,89.8,6,10,60.0,0,0.5,0.1,-0.5,5,10,0,0,10,Matches,2022-2023,Aston Villa
Calum Chambers,eng ENG,"DF,MF",28-058,2.6,121,151,80.1,2335,990,49,55,89.1,59,67,88.1,13,24,54.2,0,0.0,0.0,0.0,0,5,1,0,11,Matches,2022-2023,Aston Villa
Robin Olsen,se SWE,GK,33-070,2.6,65,111,58.6,1755,1256,14,15,93.3,28,28,100.0,23,68,33.8,0,0.0,0.0,0.0,0,2,0,0,0,Matches,2022-2023,Aston Villa
Diego Carlos,br BRA,DF,30-004,2.0,101,128,78.9,2087,802,30,36,83.3,57,66,86.4,14,24,58.3,0,0.0,0.0,0.0,0,8,0,0,10,Matches,2022-2023,Aston Villa
Jan Bednarek,pl POL,DF,26-341,1.1,60,66,90.9,1249,418,16,17,94.1,33,35,94.3,10,12,83.3,0,0.0,0.0,0.0,0,4,0,0,5,Matches,2022-2023,Aston Villa
Ludwig Augustinsson,se SWE,DF,28-332,0.9,26,43,60.5,421,176,13,16,81.3,10,16,62.5,2,8,25.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Aston Villa
Jhon Durán,co COL,FW,19-096,0.8,12,21,57.1,216,25,5,7,71.4,6,10,60.0,1,2,50.0,0,0.0,0.0,0.0,0,0,1,0,3,Matches,2022-2023,Aston Villa
Bertrand Traoré,bf BFA,FW,27-194,0.6,15,22,68.2,240,77,6,7,85.7,8,9,88.9,1,2,50.0,0,0.1,0.1,-0.1,1,0,3,2,2,Matches,2022-2023,Aston Villa
Cameron Archer,eng ENG,"FW,MF",21-241,0.5,8,12,66.7,108,44,5,5,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,0,Matches,2022-2023,Aston Villa
Morgan Sanson,fr FRA,MF,28-213,0.1,5,7,71.4,55,12,3,4,75.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,2022-2023,Aston Villa
Squad Total,,,27.6,27.0,10082,12723,79.2,177857,63975,4505,5133,87.8,4301,4987,86.2,999,1891,52.8,23,26.1,21.1,-3.1,227,704,190,57,904,,2022-2023,Aston Villa
Opponent Total,,,27.1,27.0,10502,13249,79.3,187640,66243,4820,5490,87.8,4289,5007,85.7,1160,2014,57.6,20,27.3,21.2,-7.3,235,807,208,49,944,,2022-2023,Aston Villa
Vicente Guaita,es ESP,GK,36-068,26.0,584,818,71.4,15154,10124,156,158,98.7,239,244,98.0,178,400,44.5,0,0.0,0.0,0.0,0,3,0,0,1,Matches,2022-2023,Crystal Palace
Marc Guéhi,eng ENG,DF,22-249,26.0,1245,1442,86.3,24734,9577,405,443,91.4,706,751,94.0,127,228,55.7,0,0.2,0.2,-0.2,5,89,2,0,74,Matches,2022-2023,Crystal Palace
Cheick Doucouré,ml MLI,MF,23-070,21.5,723,878,82.3,12227,3804,341,384,88.8,310,364,85.2,57,80,71.3,2,1.6,0.9,0.4,19,83,7,0,100,Matches,2022-2023,Crystal Palace
Jeffrey Schlupp,gh GHA,"MF,FW",30-086,21.6,545,724,75.3,8755,2257,270,330,81.8,214,260,82.3,43,83,51.8,0,0.6,0.5,-0.6,8,44,6,0,72,Matches,2022-2023,Crystal Palace
Tyrick Mitchell,eng ENG,DF,23-199,21.1,701,1001,70.0,11262,5519,363,433,83.8,289,393,73.5,39,116,33.6,2,0.9,0.8,1.1,9,57,11,5,69,Matches,2022-2023,Crystal Palace
Wilfried Zaha,ci CIV,"FW,MF",30-129,21.5,402,514,78.2,5511,1174,263,299,88.0,109,132,82.6,16,32,50.0,2,2.4,2.2,-0.4,22,14,29,2,51,Matches,2022-2023,Crystal Palace
Joachim Andersen,dk DEN,DF,26-292,21.4,1064,1336,79.6,25017,9659,248,276,89.9,613,663,92.5,197,368,53.5,0,0.8,0.7,-0.8,5,86,6,0,57,Matches,2022-2023,Crystal Palace
Jordan Ayew,gh GHA,"FW,MF",31-189,20.6,442,587,75.3,5857,1209,279,323,86.4,132,174,75.9,13,33,39.4,1,1.6,1.4,-0.6,21,25,9,6,41,Matches,2022-2023,Crystal Palace
Michael Olise,fr FRA,"FW,MF",21-097,19.7,635,901,70.5,10516,3055,336,380,88.4,219,295,74.2,62,159,39.0,5,4.5,3.4,0.5,43,50,25,9,80,Matches,2022-2023,Crystal Palace
Eberechi Eze,eng ENG,"MF,FW",24-263,19.2,604,776,77.8,9232,2583,355,408,87.0,181,223,81.2,48,104,46.2,3,2.9,2.1,0.1,37,54,19,1,77,Matches,2022-2023,Crystal Palace
Nathaniel Clyne,eng ENG,DF,31-348,18.2,649,827,78.5,10147,3870,337,382,88.2,282,345,81.7,24,73,32.9,0,0.7,0.6,-0.7,7,50,6,5,52,Matches,2022-2023,Crystal Palace
Joel Ward,eng ENG,DF,33-141,14.6,509,681,74.7,8302,3756,254,291,87.3,205,259,79.2,34,97,35.1,0,0.1,0.2,-0.1,2,37,3,1,50,Matches,2022-2023,Crystal Palace
Odsonne Édouard,fr FRA,"FW,MF",25-062,13.5,211,292,72.3,2419,450,154,189,81.5,40,64,62.5,3,7,42.9,2,0.9,0.6,1.1,12,7,9,0,29,Matches,2022-2023,Crystal Palace
Jean-Philippe Mateta,fr FRA,FW,25-264,7.7,92,134,68.7,1029,133,63,85,74.1,16,24,66.7,3,4,75.0,0,0.6,0.1,-0.6,5,4,0,0,5,Matches,2022-2023,Crystal Palace
Albert Sambi Lokonga,be BEL,MF,23-148,5.2,205,238,86.1,3435,974,97,108,89.8,89,94,94.7,16,25,64.0,0,0.0,0.1,0.0,1,19,0,0,17,Matches,2022-2023,Crystal Palace
Will Hughes,eng ENG,MF,27-336,4.4,136,184,73.9,2031,676,78,90,86.7,47,63,74.6,8,19,42.1,0,0.1,0.2,-0.1,2,13,3,0,16,Matches,2022-2023,Crystal Palace
Chris Richards,us USA,DF,22-356,4.0,120,146,82.2,2302,723,40,49,81.6,65,74,87.8,15,23,65.2,0,0.3,0.0,-0.3,1,8,0,0,9,Matches,2022-2023,Crystal Palace
Luka Milivojević,rs SRB,MF,31-346,3.9,141,178,79.2,2380,720,66,73,90.4,58,72,80.6,12,23,52.2,0,0.2,0.2,-0.2,2,13,1,0,15,Matches,2022-2023,Crystal Palace
James Tomkins,eng ENG,DF,33-355,2.7,111,136,81.6,2100,721,41,48,85.4,61,67,91.0,9,20,45.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches,2022-2023,Crystal Palace
Joseph Whitworth,eng ENG,GK,19-018,1.0,34,46,73.9,779,437,9,9,100.0,20,21,95.2,5,16,31.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Crystal Palace
Naouirou Ahamada,fr FRA,"MF,FW",20-355,0.9,37,45,82.2,550,179,19,22,86.4,15,17,88.2,1,3,33.3,0,0.1,0.0,-0.1,1,3,0,0,2,Matches,2022-2023,Crystal Palace
Jaïro Riedewald,nl NED,"DF,FW",26-191,0.5,26,35,74.3,351,74,17,18,94.4,9,13,69.2,0,2,0.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches,2022-2023,Crystal Palace
Malcolm Ebiowei,eng ENG,"MF,FW",19-196,0.4,5,10,50.0,98,16,2,4,50.0,2,2,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,2,Matches,2022-2023,Crystal Palace
James McArthur,sct SCO,MF,35-163,0.1,7,8,87.5,133,7,2,2,100.0,4,4,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Crystal Palace
David Ozoh,,FW,17-292,0.0,3,3,100.0,24,0,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,2022-2023,Crystal Palace
Squad Total,,,27.6,27.0,9231,11940,77.3,164345,61697,4198,4807,87.3,3925,4618,85.0,912,1919,47.5,17,18.2,14.3,-1.2,202,661,136,29,820,,2022-2023,Crystal Palace
Opponent Total,,,27.3,27.0,12610,15446,81.6,215327,75247,5920,6652,89.0,5173,5951,86.9,1146,1962,58.4,22,27.7,27.3,-5.7,268,947,290,70,1247,,2022-2023,Crystal Palace
Max Kilman,eng ENG,DF,25-300,28.0,1331,1614,82.5,25976,9590,462,502,92.0,720,782,92.1,135,293,46.1,0,0.1,0.4,-0.1,2,105,6,1,101,Matches,2022-2023,Wolverhampton Wanderers
José Sá,pt POR,GK,30-061,28.0,687,953,72.1,17067,11310,165,168,98.2,363,373,97.3,157,404,38.9,0,0.0,0.0,0.0,0,10,0,0,0,Matches,2022-2023,Wolverhampton Wanderers
Rúben Neves,pt POR,MF,26-006,26.6,1391,1677,82.9,29748,7963,453,501,90.4,668,743,89.9,257,373,68.9,0,1.0,1.0,-1.0,21,169,12,1,175,Matches,2022-2023,Wolverhampton Wanderers
Nélson Semedo,pt POR,DF,29-123,19.8,814,1005,81.0,12367,4110,469,512,91.6,288,356,80.9,43,86,50.0,1,0.6,0.8,0.4,9,68,11,5,73,Matches,2022-2023,Wolverhampton Wanderers
Matheus Nunes,pt POR,MF,24-204,18.8,561,714,78.6,10334,2051,270,319,84.6,195,225,86.7,83,123,67.5,1,1.9,1.0,-0.9,21,55,12,3,59,Matches,2022-2023,Wolverhampton Wanderers
João Moutinho,pt POR,MF,36-192,18.4,790,976,80.9,14619,3907,294,333,88.3,389,451,86.3,86,133,64.7,2,2.5,1.9,-0.5,34,98,22,4,125,Matches,2022-2023,Wolverhampton Wanderers
Daniel Podence,pt POR,"FW,MF",27-149,16.8,387,573,67.5,6381,1940,198,261,75.9,124,183,67.8,43,74,58.1,0,2.3,1.7,-2.3,31,29,33,5,85,Matches,2022-2023,Wolverhampton Wanderers
Nathan Collins,ie IRL,DF,21-323,17.5,891,1006,88.6,18016,6202,264,290,91.0,503,535,94.0,107,155,69.0,0,0.1,0.2,-0.1,2,65,2,0,60,Matches,2022-2023,Wolverhampton Wanderers
Jonny Castro,es ESP,DF,29-016,14.0,702,833,84.3,11126,3652,383,420,91.2,264,305,86.6,44,62,71.0,0,1.0,0.8,-1.0,5,60,11,2,72,Matches,2022-2023,Wolverhampton Wanderers
Hugo Bueno,es ESP,DF,20-182,11.6,439,543,80.8,6008,1786,280,303,92.4,132,167,79.0,13,37,35.1,1,0.6,0.7,0.4,11,20,9,5,31,Matches,2022-2023,Wolverhampton Wanderers
Pedro Neto,pt POR,"FW,MF",23-010,8.2,226,302,74.8,3641,830,130,144,90.3,66,95,69.5,23,43,53.5,0,1.5,1.2,-1.5,15,10,8,4,20,Matches,2022-2023,Wolverhampton Wanderers
Adama Traoré,es ESP,"FW,MF",27-053,13.1,266,402,66.2,3949,980,163,219,74.4,69,104,66.3,21,35,60.0,1,3.4,2.9,-2.4,20,14,18,13,29,Matches,2022-2023,Wolverhampton Wanderers
Rayan Aït Nouri,fr FRA,DF,21-286,11.5,446,552,80.8,6728,2269,255,287,88.9,159,195,81.5,20,32,62.5,0,1.0,0.8,-1.0,7,28,14,5,43,Matches,2022-2023,Wolverhampton Wanderers
Hwang Hee-chan,kr KOR,FW,27-052,7.9,132,176,75.0,1913,461,77,96,80.2,41,50,82.0,8,11,72.7,1,1.0,0.5,0.0,8,7,7,1,21,Matches,2022-2023,Wolverhampton Wanderers
Diego Costa,es ESP,FW,34-163,7.9,80,110,72.7,901,122,47,54,87.0,20,26,76.9,1,1,100.0,0,0.3,0.4,-0.3,5,3,1,0,4,Matches,2022-2023,Wolverhampton Wanderers
Gonçalo Guedes,pt POR,"FW,MF",26-110,7.9,138,201,68.7,2297,526,82,97,84.5,40,56,71.4,13,26,50.0,1,0.5,0.5,0.5,9,11,8,2,16,Matches,2022-2023,Wolverhampton Wanderers
Craig Dawson,eng ENG,DF,32-317,7.5,393,466,84.3,8157,2844,113,125,90.4,216,236,91.5,62,94,66.0,0,0.0,0.1,0.0,1,27,0,0,16,Matches,2022-2023,Wolverhampton Wanderers
Mario Lemina,ga GAB,MF,29-199,6.6,278,318,87.4,5026,1524,123,135,91.1,124,138,89.9,27,32,84.4,0,0.2,0.4,-0.2,2,18,5,1,27,Matches,2022-2023,Wolverhampton Wanderers
